date,clicks,impressions,ctr,position
2026-07-08,0,1,0.00,64.0
2026-07-09,0,0,0.00,0.0
2026-07-10,0,2,0.00,74.0
2026-07-11,0,1,0.00,98.0
2026-07-12,0,1,0.00,73.0
2026-07-13,0,2,0.00,63.5
2026-07-14,0,3,0.00,50.0
2026-07-15,0,2,0.00,141.5
2026-07-16,0,4,0.00,56.0
2026-07-17,0,8,0.00,44.0
2026-07-18,0,10,0.00,56.1
2026-07-19,0,9,0.00,58.3
2026-07-20,0,8,0.00,60.4
2026-07-21,0,36,0.00,59.7
2026-07-22,0,30,0.00,56.0
2026-07-23,0,40,0.00,49.9
2026-07-24,0,36,0.00,58.3
2026-07-25,0,31,0.00,59.5
2026-07-26,0,77,0.00,68.7
2026-07-27,0,75,0.00,58.7
2026-07-28,0,61,0.00,63.0
2026-07-29,0,47,0.00,56.6
2026-07-30,0,77,0.00,61.8
2026-07-31,0,68,0.00,69.1
2026-08-01,0,52,0.00,62.1
2026-08-02,0,94,0.00,62.9
2026-08-03,0,48,0.00,45.1
2026-08-04,0,37,0.00,41.6
2026-08-05,0,69,0.00,42.7
