page,clicks,impressions,ctr,position
"https://cancuntogo.com/",0,13,0.00,13.7
"https://cancuntogo.com/guides/",0,5,0.00,49.4
"https://cancuntogo.com/guides/best-time-to-visit-cancun",0,247,0.00,79.6
"https://cancuntogo.com/guides/cancun-hotel-zone-vs-riviera-maya",0,71,0.00,51.6
"https://cancuntogo.com/guides/cancun-sargassum-season",0,178,0.00,29.7
"https://cancuntogo.com/guides/cancun-vs-tulum",0,41,0.00,59.5
"https://cancuntogo.com/resorts/",0,207,0.00,61.9
"https://cancuntogo.com/resorts/grand-fiesta-americana/",0,10,0.00,56.1
"https://cancuntogo.com/resorts/hard-rock/",0,31,0.00,33.5
"https://cancuntogo.com/resorts/le-blanc",0,118,0.00,63.6
"https://cancuntogo.com/resorts/moon-palace-grand/",0,7,0.00,28.7
"https://cancuntogo.com/resorts/secrets-mirabel-cancun/",0,18,0.00,41.3
