query,clicks,impressions,ctr,position
"10 de septiembre",0,1,0.00,12.0
"cancun sargasse",0,1,0.00,50.0
"cancun sargassum",0,1,0.00,48.0
"cancun sargassum season",0,2,0.00,35.5
"cancun seagrass season",0,1,0.00,33.0
"cancun season",0,3,0.00,88.7
"cancun seaweed season",0,4,0.00,48.3
"mexico sargassum season",0,1,0.00,80.0
"mexico seaweed season",0,7,0.00,55.1
"sargassum cancun",0,1,0.00,32.0
"sargassum cancun october",0,1,0.00,32.0
"sargassum cancun september 2025",0,3,0.00,25.7
"sargassum mexico season",0,1,0.00,32.0
"sargassum season cancun",0,4,0.00,53.0
"seaweed cancun season",0,2,0.00,49.0
"seaweed forecast cancun",0,1,0.00,50.0
"seaweed season cancun",0,8,0.00,58.8
"seaweed season in cancun",0,4,0.00,65.5
"seaweed season mexico",0,1,0.00,50.0
"seaweed watch cancun",0,1,0.00,42.0
"what are the worst months for seaweed in cancun",0,1,0.00,30.0
"what is seaweed season in cancun",0,1,0.00,41.0
"when does cancun get seaweed",0,1,0.00,33.0
"when does seaweed season end in cancun",0,1,0.00,51.0
"when does seaweed season start in cancun",0,2,0.00,59.0
"when is sargassum season",0,1,0.00,81.0
"when is sargassum season in cancun",0,2,0.00,51.5
"when is seaweed season cancun",0,1,0.00,46.0
"when is seaweed season in cancun",0,3,0.00,51.3
"when is seaweed the worst in cancun",0,2,0.00,20.0
"when is there sargassum in cancun",0,1,0.00,23.0
