url,coverageState,lastCrawlTime,googleCanonicalMatches,pageFetchState
"https://cancuntogo.com/","Submitted and indexed","2026-08-16T16:20:55Z",yes,"SUCCESSFUL"
"https://cancuntogo.com/experiences","Discovered - currently not indexed","",n/a,"PAGE_FETCH_STATE_UNSPECIFIED"
"https://cancuntogo.com/resorts/","Submitted and indexed","2026-07-31T18:35:22Z",yes,"SUCCESSFUL"
"https://cancuntogo.com/guides/","Submitted and indexed","2026-08-05T20:58:57Z",yes,"SUCCESSFUL"
"https://cancuntogo.com/guides/cancun-vs-tulum","Submitted and indexed","2026-07-21T01:18:53Z",yes,"SUCCESSFUL"
"https://cancuntogo.com/guides/cancun-hotel-zone-vs-riviera-maya","Submitted and indexed","2026-07-21T01:20:24Z",yes,"SUCCESSFUL"
"https://cancuntogo.com/guides/best-time-to-visit-cancun","Submitted and indexed","2026-07-21T01:18:53Z",yes,"SUCCESSFUL"
"https://cancuntogo.com/guides/cancun-sargassum-season","Submitted and indexed","2026-08-04T14:21:24Z",yes,"SUCCESSFUL"
"https://cancuntogo.com/guides/best-cancun-resorts-honeymoon","Crawled - currently not indexed","2026-07-21T01:20:24Z",n/a,"SUCCESSFUL"
"https://cancuntogo.com/resorts/hyatt-ziva","Submitted and indexed","2026-08-12T00:08:25Z",yes,"SUCCESSFUL"
"https://cancuntogo.com/resorts/secrets-mirabel-cancun/","Submitted and indexed","2026-07-21T01:22:23Z",yes,"SUCCESSFUL"
"https://cancuntogo.com/resorts/hyatt-zilara","Submitted and indexed","2026-08-12T00:10:57Z",yes,"SUCCESSFUL"
"https://cancuntogo.com/resorts/breathless-soul","Submitted and indexed","2026-08-12T00:12:29Z",yes,"SUCCESSFUL"
"https://cancuntogo.com/resorts/secrets-the-vine","Submitted and indexed","2026-08-12T00:12:28Z",yes,"SUCCESSFUL"
"https://cancuntogo.com/guides/hyatt-ziva-vs-zilara","Submitted and indexed","2026-08-12T00:12:28Z",yes,"SUCCESSFUL"
"https://cancuntogo.com/guides/le-blanc-vs-secrets-the-vine","Discovered - currently not indexed","",n/a,"PAGE_FETCH_STATE_UNSPECIFIED"
"https://cancuntogo.com/resorts/le-blanc","Submitted and indexed","2026-07-21T01:20:24Z",yes,"SUCCESSFUL"
"https://cancuntogo.com/resorts/live-aqua","Discovered - currently not indexed","",n/a,"PAGE_FETCH_STATE_UNSPECIFIED"
"https://cancuntogo.com/resorts/hard-rock/","Submitted and indexed","2026-07-21T01:22:23Z",yes,"SUCCESSFUL"
"https://cancuntogo.com/resorts/moon-palace-grand/","Submitted and indexed","2026-08-05T17:54:01Z",yes,"SUCCESSFUL"
"https://cancuntogo.com/resorts/grand-fiesta-americana/","Submitted and indexed","2026-08-04T14:21:23Z",yes,"SUCCESSFUL"
