page,clicks,impressions,ctr,position
"https://cancuntogo.com/guides/cancun-sargassum-season",1,414,0.24,24.1
"https://cancuntogo.com/resorts/",0,309,0.00,61.8
"https://cancuntogo.com/resorts/le-blanc",0,301,0.00,67.5
"https://cancuntogo.com/guides/best-time-to-visit-cancun",0,247,0.00,79.6
"https://cancuntogo.com/resorts/grand-fiesta-americana/",0,127,0.00,64.1
"https://cancuntogo.com/guides/cancun-hotel-zone-vs-riviera-maya",0,84,0.00,45.7
"https://cancuntogo.com/guides/cancun-vs-tulum",0,55,0.00,59.1
"https://cancuntogo.com/guides/hyatt-ziva-vs-zilara",0,53,0.00,11.5
"https://cancuntogo.com/resorts/moon-palace-grand/",0,43,0.00,32.8
"https://cancuntogo.com/resorts/hard-rock/",0,33,0.00,34.3
"https://cancuntogo.com/resorts/secrets-mirabel-cancun/",0,29,0.00,48.9
"https://cancuntogo.com/resorts/secrets-the-vine",0,26,0.00,62.0
"https://cancuntogo.com/",0,13,0.00,23.4
"https://cancuntogo.com/guides/",0,9,0.00,48.4
"https://cancuntogo.com/resorts/hyatt-zilara",0,9,0.00,77.1
"https://cancuntogo.com/resorts/hyatt-ziva",0,3,0.00,24.7
"https://cancuntogo.com/resorts/breathless-soul",0,1,0.00,10.0
