query,clicks,impressions,ctr,position
"cancun resorts",0,213,0.00,60.9
"cancun resort",0,33,0.00,64.4
"grand fiesta",0,24,0.00,56.4
"best time to visit cancun",0,23,0.00,74.9
"le blanc spa resort",0,23,0.00,77.9
"grand fiesta americana",0,21,0.00,80.9
"resorts cancun",0,21,0.00,70.0
"le blanc cancun",0,18,0.00,71.7
"mexico seaweed season",0,18,0.00,55.7
"sargassum season cancun",0,15,0.00,30.5
"sargassum cancun september 2025",0,13,0.00,24.8
"cancun peak season",0,11,0.00,88.1
"grand fiesta cancun mexico",0,11,0.00,67.9
"grand fiesta hotel",0,10,0.00,71.5
"seaweed season cancun",0,10,0.00,56.0
"le blanc cancun reviews",0,9,0.00,48.0
"le blanc spa resort cancun",0,9,0.00,78.8
"cancun best time to go",0,8,0.00,90.6
"cancun mexico best time to go",0,8,0.00,84.8
"le blanc spa cancun",0,8,0.00,80.0
"resorts in cancun",0,8,0.00,61.3
"tulum vs cancun",0,8,0.00,70.3
"best time to go to cancun",0,7,0.00,74.1
"cancun seaweed season",0,7,0.00,50.4
"resort cancun",0,7,0.00,67.7
"seaweed season in cancun",0,7,0.00,57.1
"when is seaweed season in cancun",0,7,0.00,44.3
"best time to visit cancun mexico",0,6,0.00,88.0
"best time to visit cancun mx",0,6,0.00,85.7
"fiesta americana grand cancun mexico",0,6,0.00,70.5
"hyatt ziva vs zilara",0,6,0.00,7.2
"le blanc resort cancun",0,6,0.00,75.0
"le blanc spa cancun reviews",0,6,0.00,51.7
"le blanc spa resort all inclusive adults only",0,6,0.00,77.8
"leblanc cancun",0,6,0.00,67.7
"mayan riviera or cancun",0,6,0.00,49.7
"palace resorts le blanc",0,6,0.00,71.5
"secrets mirabel cancun",0,6,0.00,54.8
"when is hurricane season in cancun",0,6,0.00,74.2
"when is sargassum season in cancun",0,6,0.00,37.0
"best month to visit cancun",0,5,0.00,85.6
"cancun good time to visit",0,5,0.00,82.6
"cancun grand fiesta americana",0,5,0.00,82.4
"cancun or riviera maya",0,5,0.00,58.6
"cancun sargassum season",0,5,0.00,19.2
"cancun season",0,5,0.00,89.8
"cancun tulum",0,5,0.00,78.2
"le blanc hotel cancun",0,5,0.00,77.0
"le blanc spa resort cancun reviews",0,5,0.00,45.8
"palace le blanc",0,5,0.00,68.2
"peak season cancun",0,5,0.00,81.6
"riviera maya vs cancun",0,5,0.00,51.4
"sargassum cancun",0,5,0.00,41.8
"secrets the vine",0,5,0.00,68.0
"when is it the best time to go to cancun",0,5,0.00,89.6
"when to visit cancun",0,5,0.00,83.4
"cancún resort",0,4,0.00,65.0
"good time to go to cancun",0,4,0.00,82.0
"good time to visit cancun",0,4,0.00,90.5
"hyatt ziva vs hyatt zilara",0,4,0.00,10.5
"le blanc cancun resort",0,4,0.00,75.8
"le blanc resort",0,4,0.00,71.0
"le blanc resort cancun reviews",0,4,0.00,50.5
"moon palace cancun waterpark",0,4,0.00,42.3
"moon palace water park",0,4,0.00,40.8
"riviera maya versus cancun",0,4,0.00,59.0
"when is sargassum worst in cancun",0,4,0.00,10.0
"when to go to cancun",0,4,0.00,79.8
"best month to go to cancun",0,3,0.00,96.0
"best time of year to visit cancun",0,3,0.00,80.0
"blanc spa resort cancun",0,3,0.00,78.3
"can cun resorts",0,3,0.00,69.0
"cancun best time to visit",0,3,0.00,85.3
