query,clicks,impressions,ctr,position
"mexico seaweed season",0,18,0.00,55.7
"sargassum season cancun",0,15,0.00,30.5
"sargassum cancun september 2025",0,13,0.00,24.8
"seaweed season cancun",0,10,0.00,56.0
"cancun seaweed season",0,7,0.00,50.4
"seaweed season in cancun",0,7,0.00,57.1
"when is seaweed season in cancun",0,7,0.00,44.3
"when is sargassum season in cancun",0,6,0.00,37.0
"cancun sargassum season",0,5,0.00,19.2
"sargassum cancun",0,5,0.00,41.8
"when is sargassum worst in cancun",0,4,0.00,10.0
"cancun season",0,3,0.00,88.7
"seaweed cancun season",0,3,0.00,47.3
"cancun algae season",0,2,0.00,23.5
"cancun seagrass season",0,2,0.00,22.0
"cancun seaweed season 2025",0,2,0.00,50.5
"sargassum cancun september",0,2,0.00,18.5
"sargassum forecast cancun",0,2,0.00,66.0
"sargassum season",0,2,0.00,48.0
"what months is sargassum the worst in cancun",0,2,0.00,10.5
"when does cancun have the most seaweed",0,2,0.00,35.0
"when does seaweed season end in cancun",0,2,0.00,42.0
"when does seaweed season start in cancun",0,2,0.00,59.0
"when is sargassum season",0,2,0.00,65.0
"when is seaweed the worst in cancun",0,2,0.00,20.0
"when is the best time to go to cancun without seaweed",0,2,0.00,25.5
"10 de septiembre",0,1,0.00,12.0
"best time of year to visit riviera maya avoiding sargassum",0,1,0.00,24.0
"best time to avoid sargassum in cancun",0,1,0.00,65.0
"best time to go to cancun to avoid seaweed",0,1,0.00,25.0
"cancun sargasm",0,1,0.00,35.0
"cancun sargasse",0,1,0.00,50.0
"cancun sargassum",0,1,0.00,48.0
"cancun seaweed august",0,1,0.00,24.0
"is there sargassum in cancun in december",0,1,0.00,14.0
"marzo",0,1,0.00,11.0
"mexico sargassum season",0,1,0.00,80.0
"sargassum cancun 2026",0,1,0.00,41.0
"sargassum cancun forecast",0,1,0.00,53.0
"sargassum cancun october",0,1,0.00,32.0
"sargassum mexico season",0,1,0.00,32.0
"seaweed forecast cancun",0,1,0.00,50.0
"seaweed in cancun in november",0,1,0.00,27.0
"seaweed season mexico",0,1,0.00,50.0
"seaweed watch cancun",0,1,0.00,42.0
"what are the worst months for seaweed in cancun",0,1,0.00,30.0
"what is sargassum season in cancun",0,1,0.00,71.0
"what is seaweed season in cancun",0,1,0.00,41.0
"what time of year is sargassum the worst in cancun",0,1,0.00,7.0
"when did it start",0,1,0.00,7.0
"when does cancun get seaweed",0,1,0.00,33.0
"when does sargassum season start in cancun",0,1,0.00,20.0
"when is sargassum season in mexico",0,1,0.00,41.0
"when is sargassum the worst in cancun",0,1,0.00,11.0
"when is seaweed season cancun",0,1,0.00,46.0
"when is seaweed season in mexico",0,1,0.00,46.0
"when is there a lot of seaweed in cancun",0,1,0.00,37.0
"when is there sargassum in cancun",0,1,0.00,23.0
